episode,reward,advantage
1,-38.41999816894531,-7.0933990478515625
2,-27.829999923706055,3.4965991973876953
3,-30.90999984741211,0.4165992736816406
4,-38.02000045776367,-6.693401336669922
5,-33.150001525878906,-1.8234024047851562
6,-31.579999923706055,-0.2534008026123047
7,-31.75,-0.42340087890625
8,-23.25,8.07659912109375
9,-29.540000915527344,1.7865982055664062
10,-30.8799991607666,0.44659996032714844
11,-33.369998931884766,-2.0433998107910156
12,-24.899999618530273,6.426599502563477
13,-27.389999389648438,3.9365997314453125
14,-34.119998931884766,-2.7933998107910156
15,-31.309999465942383,0.016599655151367188
16,-31.600000381469727,-0.27340126037597656
17,-36.2599983215332,-4.933399200439453
18,-32.33000183105469,-1.0034027099609375
19,-17.059999465942383,14.266599655151367
20,-40.88999938964844,-9.563400268554688
21,-29.59000015258789,1.7365989685058594
22,-34.33000183105469,-3.0034027099609375
23,-34.29999923706055,-2.973400115966797
24,-59.150001525878906,-27.823402404785156
25,-36.70000076293945,-5.373401641845703
26,-32.970001220703125,-1.643402099609375
27,-30.649999618530273,0.6765995025634766
28,-33.22999954223633,-1.9034004211425781
29,-25.920000076293945,5.406599044799805
30,-30.639999389648438,0.6865997314453125
31,-41.720001220703125,-10.393402099609375
32,-45.45000076293945,-14.123401641845703
33,-32.56999969482422,-1.2434005737304688
34,-38.7400016784668,-7.413402557373047
35,-45.439998626708984,-14.113399505615234
36,-46.61000061035156,-15.283401489257812
37,-38.22999954223633,-6.903400421142578
38,-44.7400016784668,-13.413402557373047
39,-24.3799991607666,6.946599960327148
40,-49.68000030517578,-18.35340118408203
41,-23.110000610351562,8.216598510742188
42,-34.95000076293945,-3.623401641845703
43,-17.469999313354492,13.856599807739258
44,-32.54999923706055,-1.2234001159667969
45,-28.860000610351562,2.4665985107421875
46,-28.940000534057617,2.386598587036133
47,-35.54999923706055,-4.223400115966797
48,-31.84000015258789,-0.5134010314941406
49,-34.849998474121094,-3.5233993530273438
50,-24.079999923706055,7.246599197387695
51,-29.90999984741211,1.4165992736816406
52,-33.310001373291016,-1.9834022521972656
53,-26.600000381469727,4.726598739624023
54,-30.270000457763672,1.0565986633300781
55,-21.6200008392334,9.706598281860352
56,-32.849998474121094,-1.5233993530273438
57,-37.90999984741211,-6.583400726318359
58,-41.619998931884766,-10.293399810791016
59,-41.869998931884766,-10.543399810791016
60,-28.600000381469727,2.7265987396240234
61,-34.959999084472656,-3.6333999633789062
62,-23.649999618530273,7.676599502563477
63,-31.719999313354492,-0.3934001922607422
64,-31.079999923706055,0.2465991973876953
65,-17.780000686645508,13.546598434448242
66,-29.110000610351562,2.2165985107421875
67,-35.7400016784668,-4.413402557373047
68,-41.65999984741211,-10.33340072631836
69,-39.54999923706055,-8.223400115966797
70,-23.229999542236328,8.096599578857422
71,-42.599998474121094,-11.273399353027344
72,-31.780000686645508,-0.4534015655517578
73,-26.18000030517578,5.146598815917969
74,-28.170000076293945,3.1565990447998047
75,-29.34000015258789,1.9865989685058594
76,-33.150001525878906,-1.8234024047851562
77,-28.709999084472656,2.6166000366210938
78,-32.7599983215332,-1.4333992004394531
79,-25.940000534057617,5.386598587036133
80,-38.529998779296875,-7.203399658203125
81,-24.690000534057617,6.636598587036133
82,-25.950000762939453,5.376598358154297
83,-38.349998474121094,-7.023399353027344
84,-36.52000045776367,-5.193401336669922
85,-22.329999923706055,8.996599197387695
86,-26.899999618530273,4.426599502563477
87,-26.610000610351562,4.7165985107421875
88,-29.059999465942383,2.266599655151367
89,-29.549999237060547,1.7765998840332031
90,-25.469999313354492,5.856599807739258
91,-21.940000534057617,9.386598587036133
92,-20.15999984741211,11.16659927368164
93,-23.170000076293945,8.156599044799805
94,-31.6200008392334,-0.29340171813964844
95,-20.270000457763672,11.056598663330078
96,-24.459999084472656,6.866600036621094
97,-20.360000610351562,10.966598510742188
98,-28.329999923706055,2.9965991973876953
99,-25.809999465942383,5.516599655151367
100,-24.559999465942383,6.766599655151367
101,-21.670000076293945,9.656599044799805
102,-17.020000457763672,14.306598663330078
103,-27.940000534057617,3.386598587036133
104,-41.119998931884766,-9.793399810791016
105,-16.56999969482422,14.756599426269531
106,-26.229999542236328,5.096599578857422
107,-29.979999542236328,1.3465995788574219
108,-23.6200008392334,7.706598281860352
109,-27.979999542236328,3.346599578857422
110,-18.770000457763672,12.556598663330078
111,-25.389999389648438,5.9365997314453125
112,-29.65999984741211,1.6665992736816406
113,-20.209999084472656,11.116600036621094
114,-25.979999542236328,5.346599578857422
115,-21.899999618530273,9.426599502563477
116,-28.829999923706055,2.4965991973876953
117,-31.510000228881836,-0.18340110778808594
118,-17.299999237060547,14.026599884033203
119,-32.84000015258789,-1.5134010314941406
120,-26.520000457763672,4.806598663330078
121,-25.469999313354492,5.856599807739258
122,-29.459999084472656,1.8666000366210938
123,-28.110000610351562,3.2165985107421875
124,-24.030000686645508,7.296598434448242
125,-27.209999084472656,4.116600036621094
126,-31.829999923706055,-0.5034008026123047
127,-23.81999969482422,7.506599426269531
128,-32.439998626708984,-1.1133995056152344
129,-26.079999923706055,5.246599197387695
130,-18.399999618530273,12.926599502563477
131,-25.59000015258789,5.736598968505859
132,-22.84000015258789,8.48659896850586
133,-21.93000030517578,9.396598815917969
134,-19.729999542236328,11.596599578857422
135,-25.59000015258789,5.736598968505859
136,-27.940000534057617,3.386598587036133
137,-32.7400016784668,-1.4134025573730469
138,-25.309999465942383,6.016599655151367
139,-23.229999542236328,8.096599578857422
140,-26.040000915527344,5.286598205566406
141,-30.760000228881836,0.5665988922119141
142,-26.399999618530273,4.926599502563477
143,-28.3799991607666,2.9465999603271484
144,-35.93000030517578,-4.603401184082031
145,-23.100000381469727,8.226598739624023
146,-34.88999938964844,-3.5634002685546875
147,-23.530000686645508,7.796598434448242
